Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Limits,Zip Code,Introduced by Council Member(s),Biographical Information,Notes
POINT (-73.92135253899994 40.867759111000055),Int. No. 556-A,06/14/2007,2007,2007/028,Intersection,Manhattan,Eileen Sweeney Place,,Northwest corner of West 207th Street and Broadway,10034,Jackson,"Eileen Sweeney was a long-time community activist who devoted many years to the betterment of Washington Heights and Inwood.  She was a member of Community Board 12 Manhattan and worked for Assembly Members Edward H. Lehner and Herman D. Farrell, Jr.  Ei",
POINT (-74.07623381099995 40.64342728500003),Int. No. 281-A,05/05/2004,2004,2004/008,Intersection,Staten Island,Justice John Leone Way,,the southeast corner of the intersection of Richmond Terrace and Schuyler Street,10301,McMahon,"John Leone was born in Brooklyn, New York on March 16, 1940. He attended the local public elementary and high schools. He received his J.D Degree from New York Law School in 1963 where he received awards in Evidence and Real Property. Upon graduating, he",
POINT (-73.86153404299995 40.743991718000075),Int. No. 794,12/04/2001,2001,2001/060,Playground,Queens,Josephine Caminiti Playground,,"an existing playground bounded by 102nd Street, Corona Avenue and Alstyne Avenue",11373,"Marshall, Koslowitz, Sabini, Abel, Leffler, McCaffrey and O’Donovan","The following biographical information was provided by Council Member Marshall and Queens Community Board No. 4. 

Josephine Caminiti, nee Verderosa, was born in Corona, Queens on July 16, 1931, to Michael and Nancy Verderosa. Josephine Caminiti lived he",
POINT (-74.08093496899994 40.59357036700004),Int. No. 746-A,12/29/2005,2005,2005/131,Intersection,Staten Island,Martha Colella’s Way,,Corner of Reid and Parkinson Avenues,10305,Oddo,"Martha Colella was a 5th grade teacher at P.S. 46 who was loved by family, co-workers, parents and beloved by the students whom she taught during her nine years at P.S. 46 and by the students that she taught while working at P.S. 54 in Brooklyn.  Martha",
POINT (-73.81114212499995 40.816626926000026),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Bronx,Carmine Palladino Way,,At the intersection of Kearney Avenue and Harding Avenue,10465,Gjonaj,"Carmine Palladino was an outstanding member of the Throggs Neck community who impacted his community in many ways. He supported many community events to include tree lightings, community dances, food pantries, and, most recently, many COVID-19 related ou",
POINT (-73.91691733999994 40.83832719900005),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Bronx,Sgt. Cornelius H. Charlton Way,,At the intersection of Marcy Place and Walton Avenue,10452,Ayala and Stevens,"During the Korean War, Cornelius H. Charlton served in the United States Army, Company C, First Battalion, Twenty-Fourth Infantry, the last of the segregated Buffalo Soldier regiments to be integrated in accordance with Executive Order 9981, issued by Pr",
POINT (-74.08068180199996 40.598541425000064),Int. No. 471-A,12/21/2004,2004,2004/063,Intersection,Staten Island,John Capitano Place,,the intersection of Hylan Boulevard and Mallory Avenue,10305,Oddo,"John Capitano was born on Staten Island on December 9, 1944. He graduated from St. Peter’s High School and completed a Bachelor’s Degree at Georgetown University. After college, John entered the Pallotine Seminary and completed his Masters Degree in",
POINT (-73.88194162999997 40.671339929000055),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Brooklyn,Detective Peter J. Figoski Way,,At the intersection of Sutter Avenue and Linwood Street,11208,Banks and Nurse,Peter J. Figoski served with the NYPD for 22 years and was assigned to the 75th Precinct. He was killed in the line of duty while responding to a home invasion robbery. He was posthumously promoted to the rank of Detective First Grade.,
POINT (-73.97098652699998 40.60431889800003),Int. No. 1744,12/01/2017,2017,2017/237,Intersection,Brooklyn,Steve Halfon Way,,At the intersection of Kings Highway and East 2nd Street,11223,Greenfield,"teve Halfon was a beloved local small businessman who was brutally murdered in an armed robbery. Operating on Kings Highway in Brooklyn for 35 years, he sold clothing and then coins.  In the clothing business, he deeply discounted the suits he sold to",
POINT (-74.16978414799996 40.56022861100007),Int. No. 825,10/10/2008,2008,2008/048,Intersection,Staten Island,Dave Brennan’s Elks Way,,At the intersection of Wainwright Avenue at Richmond Avenue,10312,Ignizio,"Dave Brennan, a veteran of the Korean War, was very active in veterans’ affairs, serving as among other capacities, County Commander of the American Legion, and as a member of Catholic War Veterans and Korean War veterans.  He was also trustee chairman",
POINT (-74.15668842999997 40.62608434600003),Int. No. 620,02/05/2015,2015,2015/015,Intersection,Staten Island,Vincent C. Pompa Way,,At the northwest corner of Maple Parkway and Forest Avenue,10303,Rose,"Vincent C. Pompa was a World War II veteran and community activist and served as president of Mariners Harbor Civic Association.  He served in the United States Navy, from 1944 until 1946 and later was a chemist for the Carter Wallace Company until he re",
POINT (-73.79303360999995 40.71073227800008),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Queens,Little Bangladesh Avenue,,At the intersection of Homelawn Street and Hillside Avenue,11432,Gennaro,This co-naming will commemorate the Bangladeshi community and recognize the contributions that have been made and they continue to make in the future.,
POINT (-73.88880093299997 40.833718720000036),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Bronx,Union Grove Missionary Baptist Church Way,,At the intersection of East 172nd Street and Hoe Avenue,10460,Salamanca,"Founded on October 23, 1946, by the late Reverend Jeremiah Crawford, Union Grove Missionary Baptist Church (UGMBC) has served thousands of New Yorkers of all backgrounds, age and race. From a membership of 13 at its original location at 221 East 98th Str",
POINT (-74.12675195999998 40.56444400500004),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Staten Island,Ret. NYPD Capt. Carmine Cantalino Way,,At the intersection of Guyon Avenue and South Railroad Avenue,10306,Matteo,Carmine Cantalino served on the NYPD for 25 years and died as a result of 9/11 illness after spending a great deal of his time at Ground Zero after 9/11.,
POINT (-73.85607160299998 40.74366054500007),Int. No. 1278,01/20/2024,2024,2024/041,Intersection,Queens,Anthony Federici Street,,At the intersection of 51st Avenue and Corona Avenue,11373,Moya,"Anthony Federici was the owner and founder of the Park Side Restaurant, a popular Italian restaurant in Corona, Queens. It was originally opened by his parents in 1960, as the Corona Supper Club. He was active in a wide range of commercial and char",
POINT (-73.94882502699994 40.611475995000035),Int. No. 1102-A,07/23/2023,2023,2023/110,Intersection,Brooklyn,Ruth Bader Ginsburg Way,,At the intersection of Bedford Avenue and Avenue P,11229,Vernikov,Ruth Bader Ginsburg was an associate justice of the Supreme Court of the United States from 1993 until her death in 2020. She was the first Jewish woman to serve on the Supreme Court. She was an advocate for gender equality and women’s rights. She was,
POINT (-74.00448346199994 40.61292329200006),Int. No. 289-A,05/23/2006,2006,2006/013,Intersection,Brooklyn,Cpl. Joseph Basile Way,,Southwest corner of 81st Street and 16th Avenue,11214,Gentile,"Cpl. Joseph Basile was born in Brooklyn, New York of Italian immigrant parents in 1925. He was inducted into the Army in September 1943 and was assigned as a Tank Gunner in Company A, 741 Tank Battalion who were the initial landing force on Omaha Beach o",
POINT (-73.95759011699994 40.64268518500006),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Brooklyn,Fernande Valme Way,,At the intersection of Flatbush Avenue and Clarendon Road,11226,Joseph,"Evangelist Fernande Valme was born in Leogane, Haiti, a small village outside the nation’s capital, Port-au-Prince. As a teenager, she was committed to her church and began to volunteer around her community, which exposed her to the medical field, wher",
POINT (-73.73644335799997 40.669253006000076),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Queens,Father Andrew Struzzieri Way,,At the intersection of Brookville Boulevard and 137th Road,11422,Brooks-Powers,"Father Andrew L. Struzzieri was born in Brooklyn. He was affectionately known by many as Father Andy. He served as an assistant at Our Lady of Mercy, Forest Hills, 1975-76, and St. Matthew, Crown Heights, 1976-88. He was pastor at Our Lady of Refuge, Fla",
POINT (-73.86198431899999 40.81710852400005),Int. No.  1631,08/23/2019,2019,2019/158,Intersection,Bronx,Mario De Jesus Sr. Way,,At the southeast corner of Randall Avenue and Taylor Avenue,10473,Diaz,"Mario De Jesus Sr. was president of the Pentecostal Council M. I., a member of the Board of Directors of Radio Vision Cristiana, founder of the Second Beautiful Church of God and he also founded churches in Central and South America.",
POINT (-73.92091312199994 40.86975971500004),Int. No. 289-A,05/23/2006,2006,2006/013,Intersection,Manhattan,Tommy Dowd Way,,Southwest corner of Isham Street and Seaman Avenue,10034,Jackson,"Tommy Dowd grew up in Inwood, attended Good Shepard Grammar School and served as a member of the choir and was an alter boy at Good Shepard Church.  He also attended Dominican College on a two-year scholarship. He later married and had three children. To",
POINT (-73.90452298099996 40.81227849700008),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Bronx,Commissioner Louis E. Rios Way,,At the intersection of Prospect Avenue and 149th Street,10455,Salamanca,Louis E. Rios served in the United States Army and was honorably discharged in May 1946. He was appointed as Commissioner of the New York State Athletic Commission where he was awarded Commissioner of the Year by the World Boxing Council and was named Co,
POINT (-73.95533625699994 40.82351977800005),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Manhattan,Genevieve (Jenny) Eason Way,,At the intersection of 139th Street and Riverside Drive,10031,Levine,She was a longtime tenant and activist at tenant at 626 Riverside Drive.,
POINT (-73.86101878299996 40.75287495400005),Int. No. 825,10/10/2008,2008,2008/048,Intersection,Queens,Army SPC. Alex Jimenez Way,,"37 Drive at the north corners of 104, 107 and 108th Streets",11368,Monserrate,"Army Spc. Alex Jimenez was kidnapped after an ambush south of Baghdad in May 2007.  Approximately one year later, the U.S. military found and identified his body. He was killed in the line of duty.",
POINT (-73.85522783399995 40.57995256700008),Int. No. 935,10/02/2012,2012,2012/048,Intersection,Queens,Lance Cpl. Michael D. Glover USMC Way,,At the intersection of Beach Channel Drive and Beach 134th Street,11694,Ulrich,Lance Cpl. Michael D. Glover dropped out of law school at Pace University to enlist in the United States Marine Corps after the terrorist attacks on September 11th.  He lost a close friend who worked for Cantor Fitzgerald in the World Trade Center on S,
POINT (-73.98599424099996 40.757336114000054),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Manhattan,Sumner Redstone Way,,At the intersection of 44th Street and 7th Avenue,10036,Johnson,"Sumner Redstone graduated first in his class from the Boston Latin School in 1940 and earned a bachelor’s degree from Harvard University in 1944, awarded by the University’s Special Board of Overseers. He was selected to serve on an elite United Stat",
